actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,rr,slow_ema,symbol,tcc,time,trend,ttf,volume,win
-5.33,0,0,TRUE,24/01/2024,0,600,5,M1,10.4,8,FingerTrap,1168112164,0,2,20,GBPUSD-T,50,09:00.7,3,M5,0.13,FALSE
-4.56,0,0,TRUE,24/01/2024,0,600,5,M1,11.4,8,FingerTrap,1168112201,0,2.5,20,NZDUSD-T,50,10:00.5,3,M5,0.06,FALSE
-4.56,0,0,TRUE,24/01/2024,0,600,5,M1,6.84,8,FingerTrap,1168112204,0,1.5,20,NZDUSD-T,50,10:00.6,3,M5,0.06,FALSE
-4.56,0,0,TRUE,24/01/2024,0,600,5,M1,9.12,8,FingerTrap,1168112207,0,2,20,NZDUSD-T,50,10:00.7,3,M5,0.06,FALSE
-5.33,0,0,TRUE,24/01/2024,0,600,5,M1,13,8,FingerTrap,1168112374,0,2.5,20,AUDUSD-T,50,12:00.4,3,M5,0.13,FALSE
-5.33,0,0,TRUE,24/01/2024,0,600,5,M1,7.8,8,FingerTrap,1168112375,0,1.5,20,AUDUSD-T,50,12:00.5,3,M5,0.13,FALSE
-5.33,0,0,TRUE,24/01/2024,0,600,5,M1,10.4,8,FingerTrap,1168112376,0,2,20,AUDUSD-T,50,12:00.6,3,M5,0.13,FALSE
-4.42,0,0,TRUE,24/01/2024,0,600,5,M1,10.7,8,FingerTrap,1168114853,0,2.5,20,USDCAD-T,50,31:00.3,3,M5,0.09,FALSE
-4.42,0,0,TRUE,24/01/2024,0,600,5,M1,6.42,8,FingerTrap,1168114854,0,1.5,20,USDCAD-T,50,31:00.5,3,M5,0.09,FALSE
-4.42,0,0,TRUE,24/01/2024,0,600,5,M1,8.56,8,FingerTrap,1168114855,0,2,20,USDCAD-T,50,31:00.5,3,M5,0.09,FALSE
-4.34,0,0,TRUE,24/01/2024,0,600,5,M1,10.84,8,FingerTrap,1168114957,0,2.5,20,USDJPY-T,50,34:00.3,3,M5,0.2,FALSE
-4.34,0,0,TRUE,24/01/2024,0,600,5,M1,6.5,8,FingerTrap,1168114958,0,1.5,20,USDJPY-T,50,34:00.4,3,M5,0.2,FALSE
-4.34,0,0,TRUE,24/01/2024,0,600,5,M1,8.67,8,FingerTrap,1168114959,0,2,20,USDJPY-T,50,34:00.5,3,M5,0.2,FALSE
-4.2,0,0,TRUE,24/01/2024,0,600,5,M1,10.84,8,FingerTrap,1168115049,0,2.5,20,USDJPY-T,50,35:00.5,3,M5,0.2,FALSE
-4.2,0,0,TRUE,24/01/2024,0,600,5,M1,6.5,8,FingerTrap,1168115050,0,1.5,20,USDJPY-T,50,35:00.7,3,M5,0.2,FALSE
-4.34,0,0,TRUE,24/01/2024,0,600,5,M1,8.67,8,FingerTrap,1168115052,0,2,20,USDJPY-T,50,35:00.8,3,M5,0.2,FALSE
-3.87,0,0,TRUE,24/01/2024,0,600,5,M1,9.51,8,FingerTrap,1168115706,0,2.5,20,USDCAD-T,50,47:00.3,3,M5,0.08,FALSE
