actual_profit,ask,bid,closed,closer,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,slow_ema,symbol,tcc,time,ttf,volume,win
0,9641.94,9641.68,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-03,1981804256,1440,5,M5,6.0,8,FingerTrap,5084674027,9641.68,20,Volatility 10 (1s) Index,720,23:30:01.791740,H1,0.5,False
0,548667.28,548630.87,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-03,1981804274,1440,5,M5,6.0,8,FingerTrap,5084674039,548667.28,20,Volatility 25 (1s) Index,720,23:30:02.216498,H1,0.005,False
0,9641.74,9641.48,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981815896,1440,5,M5,6.0,8,FingerTrap,5084685566,9641.48,20,Volatility 10 (1s) Index,720,00:10:01.241068,H1,0.5,False
0,239240.0,239189.67,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981822170,1440,5,M5,6.0,8,FingerTrap,5084691867,239240.0,20,Volatility 75 Index,720,00:30:02.508608,H1,0.001,False
0,8362.13,8360.72,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981823675,1440,5,M5,6.0,8,FingerTrap,5084693398,8360.72,20,Volatility 75 (1s) Index,720,00:35:01.283647,H1,0.05,False
0,1480.68,1480.23,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981833131,1440,5,M5,6.0,8,FingerTrap,5084702860,1480.23,20,Volatility 100 (1s) Index,720,01:05:01.326069,H1,0.2,False
0,8367.99,8366.58,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981840514,1440,5,M5,6.0,8,FingerTrap,5084710255,8366.58,20,Volatility 75 (1s) Index,720,01:35:01.291517,H1,0.05,False
0,239997.86,239947.53,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981841641,1440,5,M5,6.0,8,FingerTrap,5084711366,239997.86,20,Volatility 75 Index,720,01:40:02.310040,H1,0.001,False
0,191555.34,191533.03,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981846954,1440,5,M5,6.0,8,FingerTrap,5084716769,191555.34,20,Volatility 50 (1s) Index,720,02:00:01.864299,H1,0.005,False
0,2275.238,2275.086,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981847021,1440,5,M5,6.0,8,FingerTrap,5084716801,2275.086,20,Volatility 25 Index,720,02:00:04.286135,H1,0.5,False
0,9633.5,9633.24,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981852110,1440,5,M5,6.0,8,FingerTrap,5084721913,9633.24,20,Volatility 10 (1s) Index,720,02:20:01.310204,H1,0.5,False
0,6619.49,6619.316,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981878145,1440,5,M5,6.0,8,FingerTrap,5084748858,6619.316,20,Volatility 10 Index,720,03:55:02.255700,H1,0.5,False
0,8340.87,8339.46,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981884194,1440,5,M5,6.0,8,FingerTrap,5084755020,8339.46,20,Volatility 75 (1s) Index,720,04:15:01.263403,H1,0.05,False
0,9639.01,9638.75,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981886125,1440,5,M5,6.0,8,FingerTrap,5084756987,9638.75,20,Volatility 10 (1s) Index,720,04:20:01.250604,H1,0.5,False
0,6610.765,6610.591,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981888605,1440,5,M5,6.0,8,FingerTrap,5084759555,6610.591,20,Volatility 10 Index,720,04:25:02.225586,H1,0.5,False
0,9629.04,9628.78,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981901582,1440,5,M5,6.0,8,FingerTrap,5084773365,9628.78,20,Volatility 10 (1s) Index,720,05:05:01.218331,H1,0.5,False
0,8330.79,8329.38,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981905581,1440,5,M5,6.0,8,FingerTrap,5084777550,8329.38,20,Volatility 75 (1s) Index,720,05:15:01.374459,H1,0.05,False
0,190037.96,190015.65,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981915094,1440,5,M5,6.0,8,FingerTrap,5084787521,190037.96,20,Volatility 50 (1s) Index,720,05:40:01.219268,H1,0.005,False
0,8328.38,8326.97,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981929567,1440,5,M5,6.0,8,FingerTrap,5084802339,8326.97,20,Volatility 75 (1s) Index,720,06:20:01.221668,H1,0.05,False
0,6616.18,6616.006,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981933946,1440,5,M5,6.0,8,FingerTrap,5084806730,6616.006,20,Volatility 10 Index,720,06:30:02.444022,H1,0.5,False
0,6610.5,6610.326,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981950044,1440,5,M5,6.0,8,FingerTrap,5084822807,6610.326,20,Volatility 10 Index,720,07:05:02.269133,H1,0.5,False
0,191487.88,191465.57,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981961001,1440,5,M5,6.0,8,FingerTrap,5084833792,191487.88,20,Volatility 50 (1s) Index,720,07:30:01.248468,H1,0.005,False
0,263.2142,263.1792,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981961022,1440,5,M5,6.0,8,FingerTrap,5084833811,263.2142,20,Volatility 50 Index,720,07:30:02.279707,H1,4.0,False
0,548117.96,548081.55,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981965889,1440,5,M5,6.0,8,FingerTrap,5084838639,548117.96,20,Volatility 25 (1s) Index,720,07:40:01.428569,H1,0.005,False
0,2272.078,2271.926,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981976170,1440,5,M5,6.0,8,FingerTrap,5084848963,2271.926,20,Volatility 25 Index,720,08:05:02.353270,H1,0.5,False
0,6602.931,6602.757,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981980506,1440,5,M5,6.0,8,FingerTrap,5084853286,6602.757,20,Volatility 10 Index,720,08:15:02.386731,H1,0.5,False
0,191343.89,191321.58,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981982479,1440,5,M5,6.0,8,FingerTrap,5084855299,191343.89,20,Volatility 50 (1s) Index,720,08:20:01.216780,H1,0.005,False
0,548022.17,547985.76,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981988157,1440,5,M5,6.0,8,FingerTrap,5084861109,548022.17,20,Volatility 25 (1s) Index,720,08:35:01.225410,H1,0.005,False
0,8277.66,8276.25,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981988172,1440,5,M5,6.0,8,FingerTrap,5084861127,8276.25,20,Volatility 75 (1s) Index,720,08:35:02.225513,H1,0.05,False
0,262.8252,262.7902,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982002452,1440,5,M5,6.0,8,FingerTrap,5084875772,262.8252,20,Volatility 50 Index,720,09:05:02.308446,H1,4.0,False
0,8265.68,8264.27,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982007780,1440,5,M5,6.0,8,FingerTrap,5084881232,8264.27,20,Volatility 75 (1s) Index,720,09:15:01.566771,H1,0.05,False
0,191909.67,191887.36,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982014591,1440,5,M5,6.0,8,FingerTrap,5084888308,191909.67,20,Volatility 50 (1s) Index,720,09:30:01.441989,H1,0.005,False
0,191849.13,191826.82,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982033499,1440,5,M5,6.0,8,FingerTrap,5084907730,191849.13,20,Volatility 50 (1s) Index,720,10:10:01.288798,H1,0.005,False
0,8208.72,8207.31,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982042315,1440,5,M5,6.0,8,FingerTrap,5084916626,8207.31,20,Volatility 75 (1s) Index,720,10:25:01.271773,H1,0.05,False
0,262.6585,262.6235,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982045168,1440,5,M5,6.0,8,FingerTrap,5084919488,262.6585,20,Volatility 50 Index,720,10:30:02.300273,H1,4.0,False
0,1530.03,1529.58,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982050097,1440,5,M5,6.0,8,FingerTrap,5084924475,1530.03,20,Volatility 100 (1s) Index,720,10:40:01.270620,H1,0.2,False
0,1527.32,1526.87,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982059621,1440,5,M5,6.0,8,FingerTrap,5084934055,1527.32,20,Volatility 100 (1s) Index,720,11:00:03.784944,H1,0.2,False
0,9645.81,9645.55,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982086924,1440,5,M5,6.0,8,FingerTrap,5084961611,9645.55,20,Volatility 10 (1s) Index,720,11:55:01.258235,H1,0.5,False
0,6579.496,6579.322,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982093009,1440,5,M5,6.0,8,FingerTrap,5084967873,6579.322,20,Volatility 10 Index,720,12:05:02.285456,H1,0.5,False
0,227146.93,227096.6,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982103979,1440,5,M5,6.0,8,FingerTrap,5084979138,227096.6,20,Volatility 75 Index,720,12:25:02.299429,H1,0.001,False
