actual_profit,ask,bid,closed,closer,date,deal,ecc,etf,expected_profit,first_ema,name,order,price,rsi_length,second_ema,sma_length,symbol,tcc,time,trend,ttf,volume,win
0,275.7384,275.7034,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764121755,2880,M15,30.0,8,Momentum,3849392383,275.7384,9,16,15,Volatility 50 Index,720,00:45:02.212106,2,H4,4.0,False
0,7931.82,7930.2,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764173051,2880,M15,30.0,8,Momentum,3849445267,7930.2,9,16,15,Volatility 75 (1s) Index,720,02:15:01.152794,2,H4,0.05,False
0,9732.47,9732.21,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764218561,2880,M15,30.0,8,Momentum,3849491255,9732.47,9,16,15,Volatility 10 (1s) Index,720,03:30:02.273855,2,H4,0.5,False
0,223594.37,223540.68,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764362662,2880,M15,30.0,8,Momentum,3849642891,223540.68,9,16,15,Volatility 75 Index,720,06:45:02.130381,2,H4,0.001,False
0,534500.69,534465.17,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764404819,2880,M15,30.0,8,Momentum,3849687783,534465.17,9,16,15,Volatility 25 (1s) Index,720,07:30:01.188892,2,H4,0.005,False
0,1527.95,1527.52,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764419484,2880,M15,30.0,8,Momentum,3849703464,1527.52,9,16,15,Volatility 100 (1s) Index,720,07:45:01.137081,2,H4,0.2,False
0,7901.36,7899.74,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764522598,2880,M15,30.0,8,Momentum,3849812226,7899.74,9,16,15,Volatility 75 (1s) Index,720,09:30:01.179132,2,H4,0.05,False
0,272.7431,272.7081,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764715726,2880,M15,30.0,8,Momentum,3850011566,272.7431,9,16,15,Volatility 50 Index,720,12:30:02.152389,2,H4,4.0,False
0,9738.79,9738.53,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764715780,2880,M15,30.0,8,Momentum,3850011598,9738.79,9,16,15,Volatility 10 (1s) Index,720,12:30:03.152413,2,H4,0.5,False
0,7853.15,7851.53,False,<function ema_closer at 0x000001D6E8CB25C0>,2024-04-07,3764731628,2880,M15,30.0,8,Momentum,3850027809,7851.53,9,16,15,Volatility 75 (1s) Index,720,12:45:01.147455,2,H4,0.05,False
